"subzone","postal_2d","purity","n","total","postal_district"
"ADMIRALTY","75",1,282,282,"27"
"AIRPORT ROAD","53",1,13,13,"19"
"ALEXANDRA HILL","15",1,216,216,"03"
"ALEXANDRA NORTH","15",0.806451612903226,25,31,"03"
"ALJUNIED","38",0.601988636363636,2119,3520,"14"
"ANAK BUKIT","59",0.973421926910299,2637,2709,"21"
"ANCHORVALE","54",1,278,278,"19"
"ANG MO KIO TOWN CENTRE","56",1,82,82,"20"
"ANSON","08",0.814814814814815,66,81,"02"
"BAHAR","64",1,1,1,"22"
"BALESTIER","32",0.724085365853659,950,1312,"12"
"BANGKIT","67",1,107,107,"23"
"BAYFRONT SUBZONE","01",1,32,32,"01"
"BAYSHORE","46",0.990950226244344,219,221,"16"
"BEDOK NORTH","46",0.522799575821845,986,1886,"16"
"BEDOK RESERVOIR","47",0.994505494505495,181,182,"16"
"BEDOK SOUTH","46",0.823401950162513,3040,3692,"16"
"BENCOOLEN","18",1,157,157,"07"
"BENDEMEER","32",0.801452784503632,662,826,"12"
"BENOI SECTOR","62",1,89,89,"22"
"BIDADARI","36",0.931034482758621,81,87,"13"
"BISHAN EAST","57",1,233,233,"20"
"BOAT QUAY","04",0.566576086956522,417,736,"01"
"BOON KENG","38",1,248,248,"14"
"BOON LAY PLACE","64",1,147,147,"22"
"BOON TECK","31",1,77,77,"12"
"BOULEVARD","23",0.683453237410072,95,139,"09"
"BRADDELL","31",0.935897435897436,73,78,"12"
"BRAS BASAH","17",0.706896551724138,41,58,"06"
"BRICKWORKS","65",1,119,119,"23"
"BUGIS","18",1,253,253,"07"
"BUKIT BATOK CENTRAL","65",1,166,166,"23"
"BUKIT BATOK EAST","65",1,81,81,"23"
"BUKIT BATOK SOUTH","65",1,293,293,"23"
"BUKIT BATOK WEST","65",1,100,100,"23"
"BUKIT HO SWEE","16",0.993197278911565,146,147,"03"
"BUKIT MERAH","15",0.882352941176471,60,68,"03"
"CAIRNHILL","22",1,410,410,"09"
"CECIL","06",0.961038961038961,74,77,"01"
"CENTRAL SUBZONE","01",0.786885245901639,48,61,"01"
"CENTRAL WATER CATCHMENT","72",0.48,12,25,"25"
"CHANGI AIRPORT","81",0.664948453608247,129,194,"17"
"CHANGI BAY","49",1,5,5,"17"
"CHANGI POINT","50",0.943661971830986,134,142,"17"
"CHANGI WEST","49",0.717299578059072,170,237,"17"
"CHATSWORTH","24",0.9875173370319,712,721,"10"
"CHENG SAN","56",1,128,128,"20"
"CHIN BEE","61",0.985185185185185,133,135,"22"
"CHINA SQUARE","04",0.752475247524752,76,101,"01"
"CHINATOWN","08",0.37967332123412,1046,2755,"02"
"CHOA CHU KANG CENTRAL","68",1,182,182,"23"
"CHOA CHU KANG NORTH","68",1,731,731,"23"
"CHONG BOON","56",1,149,149,"20"
"CITY HALL","17",0.636363636363636,98,154,"06"
"CITY TERMINALS","09",0.736842105263158,28,38,"04"
"CLARKE QUAY","05",0.666666666666667,40,60,"01"
"CLEANTECH","63",1,14,14,"22"
"CLEMENTI CENTRAL","12",1,438,438,"05"
"CLEMENTI NORTH","12",1,155,155,"05"
"CLEMENTI WEST","12",1,190,190,"05"
"CLEMENTI WOODS","12",1,221,221,"05"
"CLIFFORD PIER","04",0.666666666666667,14,21,"01"
"COMMONWEALTH","14",1,52,52,"03"
"COMPASSVALE","54",1,161,161,"19"
"CONEY ISLAND","51",1,1,1,"18"
"CORONATION ROAD","26",0.981481481481482,1484,1512,"10"
"CRAWFORD","19",1,54,54,"07"
"DAIRY FARM","67",1,738,738,"23"
"DEFU INDUSTRIAL PARK","53",1,335,335,"19"
"DEPOT ROAD","10",1,89,89,"04"
"DHOBY GHAUT","23",0.794520547945205,58,73,"09"
"DOVER","13",1,195,195,"05"
"DUNEARN","29",0.99390243902439,1141,1148,"11"
"EAST COAST","44",0.818181818181818,9,11,"15"
"EVERTON PARK","08",0.788961038961039,243,308,"02"
"FABER","12",0.998194945848375,553,554,"05"
"FAJAR","67",1,148,148,"23"
"FARRER COURT","26",0.978021978021978,356,364,"10"
"FARRER PARK","21",0.989177489177489,457,462,"08"
"FERNVALE","79",0.997371879106439,759,761,"28"
"FLORA DRIVE","50",1,969,969,"17"
"FOREST HILL","68",1,2,2,"23"
"FORT CANNING","23",0.666666666666667,50,75,"09"
"FRANKEL","45",0.656241350678107,4742,7226,"15"
"GALI BATU","67",0.569948186528497,110,193,"23"
"GARDEN","69",1,42,42,"24"
"GEYLANG BAHRU","33",0.99,99,100,"12"
"GEYLANG EAST","42",0.714393653192293,1891,2647,"15"
"GHIM MOH","27",0.969230769230769,63,65,"10"
"GOMBAK","65",0.645342312008979,575,891,"23"
"GOODWOOD PARK","25",0.938053097345133,106,113,"10"
"GREENWOOD PARK","73",0.9375,45,48,"25"
"GUILIN","65",0.610619469026549,69,113,"23"
"GUL BASIN","62",1,92,92,"22"
"GUL CIRCLE","62",0.98961937716263,286,289,"22"
"HENDERSON HILL","15",0.986111111111111,71,72,"03"
"HILLCREST","28",1,2095,2095,"11"
"HILLVIEW","66",0.918114143920596,740,806,"23"
"HOLLAND DRIVE","27",0.933035714285714,209,224,"10"
"HOLLAND ROAD","27",0.872945638432364,1381,1582,"10"
"HONG KAH","64",1,291,291,"22"
"HONG KAH NORTH","65",1,157,157,"23"
"HOUGANG CENTRAL","53",1,389,389,"19"
"HOUGANG EAST","53",1,149,149,"19"
"HOUGANG WEST","53",0.926356589147287,239,258,"19"
"INSTITUTION HILL","23",1,173,173,"09"
"INTERNATIONAL BUSINESS PARK","60",1,31,31,"22"
"ISTANA NEGARA","22",0.642857142857143,9,14,"09"
"JELEBU","67",1,354,354,"23"
"JOO KOON","62",0.971929824561404,277,285,"22"
"JOO SENG","36",0.717463848720801,645,899,"13"
"JURONG GATEWAY","60",1,70,70,"22"
"JURONG ISLAND AND BUKOM","62",0.977272727272727,172,176,"22"
"JURONG PORT","61",0.987951807228916,82,83,"22"
"JURONG RIVER","61",0.539568345323741,75,139,"22"
"JURONG WEST CENTRAL","64",1,327,327,"22"
"KAKI BUKIT","41",0.863028953229399,775,898,"14"
"KALLANG BAHRU","33",1,128,128,"12"
"KALLANG WAY","34",0.950207468879668,229,241,"13"
"KAMPONG BUGIS","38",0.877049180327869,107,122,"14"
"KAMPONG GLAM","19",0.763552479815456,662,867,"07"
"KAMPONG JAVA","21",0.970963995354239,836,861,"08"
"KAMPONG TIONG BAHRU","16",1,59,59,"03"
"KAMPONG UBI","40",0.997435897435897,389,390,"14"
"KANGKAR","53",1,301,301,"19"
"KATONG","42",0.813667063965038,2048,2517,"15"
"KEAT HONG","68",1,294,294,"23"
"KEBUN BAHRU","56",1,442,442,"20"
"KEMBANGAN","41",0.955297430482225,2714,2841,"14"
"KENT RIDGE","11",1,133,133,"05"
"KHATIB","76",0.927835051546392,90,97,"27"
"KIAN TECK","62",0.963746223564955,319,331,"22"
"KIM KEAT","31",1,54,54,"12"
"KOVAN","54",0.96967235310046,3581,3693,"19"
"KRANJI","73",0.991735537190083,120,121,"25"
"LAKESIDE (BUSINESS)","60",1,15,15,"22"
"LAKESIDE (LEISURE)","61",0.814814814814815,22,27,"22"
"LAVENDER","20",0.734384858044164,1164,1585,"08"
