"subzone","postal_3d","purity","n","total"
"ADMIRALTY","758",0.294326241134752,83,282
"AIRPORT ROAD","539",0.923076923076923,12,13
"ALEXANDRA HILL","159",0.680555555555556,147,216
"ALEXANDRA NORTH","159",0.806451612903226,25,31
"ALJUNIED","389",0.246306818181818,867,3520
"ANAK BUKIT","599",0.300110741971207,813,2709
"ANCHORVALE","544",0.320143884892086,89,278
"ANG MO KIO TOWN CENTRE","560",0.378048780487805,31,82
"ANSON","088",0.419753086419753,34,81
"BAHAR","649",1,1,1
"BALESTIER","329",0.396341463414634,520,1312
"BANGKIT","670",0.710280373831776,76,107
"BAYFRONT SUBZONE","018",1,32,32
"BAYSHORE","466",0.434389140271493,96,221
"BEDOK NORTH","488",0.193001060445387,364,1886
"BEDOK RESERVOIR","479",0.456043956043956,83,182
"BEDOK SOUTH","466",0.222101841820152,820,3692
"BENCOOLEN","188",0.617834394904459,97,157
"BENDEMEER","328",0.504842615012107,417,826
"BENOI SECTOR","629",0.842696629213483,75,89
"BIDADARI","360",0.218390804597701,19,87
"BISHAN EAST","570",0.618025751072961,144,233
"BOAT QUAY","049",0.53125,391,736
"BOON KENG","388",0.403225806451613,100,248
"BOON LAY PLACE","640",0.476190476190476,70,147
"BOON TECK","310",0.662337662337662,51,77
"BOULEVARD","238",0.676258992805755,94,139
"BRADDELL","310",0.41025641025641,32,78
"BRAS BASAH","178",0.362068965517241,21,58
"BRICKWORKS","650",0.277310924369748,33,119
"BUGIS","188",0.648221343873518,164,253
"BUKIT BATOK CENTRAL","650",0.662650602409639,110,166
"BUKIT BATOK EAST","650",0.814814814814815,66,81
"BUKIT BATOK SOUTH","658",0.638225255972696,187,293
"BUKIT BATOK WEST","650",0.79,79,100
"BUKIT HO SWEE","169",0.489795918367347,72,147
"BUKIT MERAH","159",0.5,34,68
"CAIRNHILL","229",0.751219512195122,308,410
"CECIL","068",0.597402597402597,46,77
"CENTRAL SUBZONE","018",0.786885245901639,48,61
"CENTRAL WATER CATCHMENT","729",0.48,12,25
"CHANGI AIRPORT","819",0.65979381443299,128,194
"CHANGI BAY","498",1,5,5
"CHANGI POINT","509",0.401408450704225,57,142
"CHANGI WEST","498",0.388185654008439,92,237
"CHATSWORTH","249",0.434119278779473,313,721
"CHENG SAN","560",0.7421875,95,128
"CHIN BEE","619",0.555555555555556,75,135
"CHINA SQUARE","048",0.415841584158416,42,101
"CHINATOWN","088",0.186206896551724,513,2755
"CHOA CHU KANG CENTRAL","680",0.538461538461538,98,182
"CHOA CHU KANG NORTH","688",0.708618331053352,518,731
"CHONG BOON","560",0.61744966442953,92,149
"CITY HALL","179",0.415584415584416,64,154
"CITY TERMINALS","098",0.394736842105263,15,38
"CLARKE QUAY","059",0.566666666666667,34,60
"CLEANTECH","636",0.5,7,14
"CLEMENTI CENTRAL","128",0.550228310502283,241,438
"CLEMENTI NORTH","120",0.703225806451613,109,155
"CLEMENTI WEST","127",0.368421052631579,70,190
"CLEMENTI WOODS","128",0.343891402714932,76,221
"CLIFFORD PIER","049",0.666666666666667,14,21
"COMMONWEALTH","140",0.692307692307692,36,52
"COMPASSVALE","544",0.397515527950311,64,161
"CONEY ISLAND","518",1,1,1
"CORONATION ROAD","267",0.35515873015873,537,1512
"CRAWFORD","190",0.537037037037037,29,54
"DAIRY FARM","679",0.605691056910569,447,738
